filename,language,model,title,ref_length,reference,base_problem,rag_problem,base_time,rag_time,base_tokens,rag_tokens,base_from_cache,rag_from_cache,rag_chunks,rag_chunk_score,bertscore_base_f1,bertscore_rag_f1,bertscore_diff,bertscore_better
ru_04_klassifikatsiya-tekstov-s-pomoschyu-svertochnyh-neyronnyh-se.pdf,ru,gemma-3-12b-it-iq2xs:latest,,147,Это привело к множественным попыткам использования этой модели в других областях с целью улучшить результаты в сравнении с традиционными методами .,"Разработка эффективной модели классификации текста для определения типа сообщений, поступающих в чат-бота.","Как улучшить классификацию текста, особенно коротких текстов, для использования в чат-ботах.",0.95,0.99,23,24,True,True,3,336.9530944824219,0.8004,0.8184,0.018,RAG
ru_01_primenenie-neyronnyh-setey-v-obrabotke-estestvennogo-yazyka.pdf,ru,gemma-3-12b-it-iq2xs:latest,,193,"В-третьих, существует проблема подделки текстовых данных, когда созданный компью - тером текст может быть использован для распространения ложной информации или манипуляции общественным мнением.","Как улучшить обработку естественного языка с помощью нейронных сетей для автоматического перевода и других задач, связанных с текстовой информацией?",Как улучшить обработку естественного языка с помощью нейронных сетей?,1.29,0.68,31,17,True,True,3,322.0530700683594,0.7914,0.7916,0.0001,RAG
ru_09_metody-raspoznavaniya-imenovannyh-suschnostey-v-russkom-yazy.pdf,ru,gemma-3-12b-it-iq2xs:latest,,231,Важно й частью в решении задач обработки естественного языка является выбо р векторного представления слов . Цель данной работы - разработать эффективный метод для решения задачи распознавания именова,Как эффективно учитывать контекст слова для распознавания именованных сущностей в русском языке.,Как разработать эффективный метод для решения задачи распознавания именованных сущностей в русском языке?,0.82,0.9,20,22,True,True,3,322.13787841796875,0.8726,0.9151,0.0425,RAG
ru_08_analiz-tonalnosti-teksta-metodami-mashinnogo-obucheniya.pdf,ru,gemma-3-12b-it-iq2xs:latest,,179,18413/2518 -1092 -2021 -6-1-0-7 ВВЕДЕНИЕ Анализ тональности текста это подраздел обработки естественного языка ( NLP) целью кото рого является классификация текста по тональности.,"Как классифицировать текст по тональности, чтобы выявить мнение, отношение и эмоции автора.","Как эффективно анализировать текстовые данные для определения тональности текста, используя методы машинного обучения.",0.91,0.86,22,21,True,True,3,296.6589762369792,0.8099,0.8028,-0.0071,Base
ru_17_sravnitelnyy-analiz-modeley-transformera-dlya-klassifikatsii.pdf,ru,gemma-3-12b-it-iq2xs:latest,,220,"Татищева, 20а, кандидат технических наук, ORCID: 0000 -0003 -1378 -3553, e-mail: В данной статье представлен обзор подхода к классификации неструктурированной текстовой информа - ции с использованием ","Как эффективно классифицировать неструктурированную текстовую информацию, используя модели трансформеров.",Как улучшить классификацию неструктурированной текстовой информации с использованием моделей трансформеров?,0.9,0.91,22,22,True,True,3,311.03404744466144,0.8503,0.8628,0.0125,RAG
ru_03_generatsiya-teksta-s-pomoschyu-neyronnyh-setey.pdf,ru,gemma-3-12b-it-iq2xs:latest,,312,"Данный метод уменьшает количество ошибок при построении частотных для языка слов, поскольку в нём уделяется большое внимание грамматике и сохраняется смысл фраз. Цель исследования Реализация модели ге","Разработка эффективных методов генерации текста с использованием нейронных сетей, обладающих способностью к самостоятельной реакции на нестандартные запросы.","Разработка эффективных методов генерации текста с использованием нейронных сетей, что актуально для обработки естественного языка и автоматического перефразирования текста.",1.34,1.44,32,34,True,True,3,312.07787068684894,0.8047,0.8112,0.0065,RAG
ru_12_intellektualnyy-analiz-teksta.pdf,ru,gemma-3-12b-it-iq2xs:latest,,284,"В частности, он включает в себя процессы компиляции, организации и анализа больших коллекций документов с целью извлечения 477 Научно -образовательный журнал для студентов и преподавателей «StudNet» №","Как извлечь полезную информацию из больших объемов текстовых данных, используя автоматизированные методы анализа текста.","Как эффективно извлекать информацию из больших коллекций текстовых данных, чтобы обнаружить новые связи и закономерности?",1.0,1.04,24,25,True,True,3,347.018310546875,0.8025,0.8287,0.0262,RAG
ru_02_metody-glubokogo-obucheniya-dlya-obrabotki-tekstov-na-estest.pdf,ru,gemma-3-12b-it-iq2xs:latest,,431,Важной задачей при анализе рентгеногр афических изображений медицинских биологических объектов и их фрагментов является решение задачи улучшения качества изображения. С целью улучш е- ния качества рен,"Разработка эффективных алгоритмов глубокого обучения для обработки естественного языка, включая задачи моделирования предложений, маркировки семантической роли, распознавания именованных сущностей, категоризации текста и машинного перевода.","Как улучшить обработку естественного языка, используя глубокое обучение, чтобы решить задачи, которые ранее были нерешаемыми.",2.05,1.18,48,28,True,True,3,312.37640380859375,0.7748,0.7629,-0.0119,Base
ru_11_klassifikatsiya-nauchnyh-tekstov-po-spetsialnostyam-metodami.pdf,ru,gemma-3-12b-it-iq2xs:latest,,348,"Выявление смысла является основной задачей анализа содержимого текстов. В данной статье в качестве обучающей и тестовой выборки текстов были отобраны документы: авто - рефераты и диссертации, которые ",Как классифицировать научные текстовые материалы по специальностям с использованием методов машинного обучения.,Разработка эффективных методов классификации научных текстов по предметным областям с использованием машинного обучения.,0.83,0.91,20,22,True,True,3,310.4383239746094,0.8145,0.8122,-0.0024,Base
ru_18_intellektualnaya-obrabotka-tekstovoy-informatsii-obzor-avtom.pdf,ru,gemma-3-12b-it-iq2xs:latest,,276,"Технологическая основа автоматизированной суммаризации Основу составляют различные алгоритмы, суть работы которых описывается в данной статье нема- тематическим языком с целью получения общего предста","Как улучшить автоматизированную обработку текстовой информации, чтобы создавать резюме разного качества и объема, используя экстрактивные и абстрактивные методы.","Разработка эффективных методов автоматизированной суммаризации текстовой информации, включая экстрактивные и абстрактивные подходы.",1.44,1.12,34,27,True,True,3,312.68479410807294,0.801,0.8297,0.0287,RAG
ru_13_sravnitelnyy-analiz-algoritmov-klassifikatsii-tekstov-ot-kla.pdf,ru,gemma-3-12b-it-iq2xs:latest,,253,"Классификация текстовых документов ключевая задача обработки естественного языка (NLP) и машинного обучения, имеющая множество приложений: фильтрация спама, тематическая сортировка новостей, анализ то","Как улучшить автоматическую классификацию текстовых документов, используя современные методы машинного обучения, такие как трансформеры, по сравнению с классическими подходами.","Разработка эффективных алгоритмов для автоматической классификации текстовых документов, особенно с учетом эволюции от классических подходов к современным трансформерам.",1.44,1.42,34,34,True,True,3,312.4667256673177,0.8033,0.7974,-0.006,Base
ru_07_effektivnost-neyrosetevyh-algoritmov-v-avtomaticheskom-refer.pdf,ru,gemma-3-12b-it-iq2xs:latest,,210,"Статья посвящена анализу роли и эффективности нейросетевых алгоритмов в задачах автоматического рефе - рирования и суммаризации текстов, которые являются ключевыми в области обработки естественного яз","Как улучшить автоматическое реферирование и суммаризацию текста, обеспечивая извлечение и генерацию важнейшей информации из текстов для быстрого доступа к основному содержанию.","Как улучшить автоматическое реферирование и суммаризацию текста, обеспечив понимание контекста, иронии и сохранение связности текста?",1.7,1.42,40,34,True,True,3,308.819091796875,0.8216,0.8142,-0.0073,Base
ru_19_bazovaya-arhitektura-metody-i-algoritmy-sistemy-izvlecheniya.pdf,ru,gemma-3-12b-it-iq2xs:latest,,261,"Сердюк Базовая архитектура, методы и алгоритмы системы извлечения темпоральной информации из текстов на естественном языке Аннотация. В данной статье представляется базовая архитектура системы извлече",Как определить временные отношения между событиями и временными ссылками в текстах на естественном языке.,Разработка методов и алгоритмов для извлечения темпоральной информации из текстов на естественном языке.,0.96,0.96,23,23,True,True,3,295.82179768880206,0.8129,0.9077,0.0948,RAG
ru_16_kontsept-predobuchennyh-yazykovyh-modeley-v-kontekste-inzhen.pdf,ru,gemma-3-12b-it-iq2xs:latest,,273,"Автор обосновывает актуальность вопроса о содержа нии в предобученных языковых моделях имплицитных, интернализированных знаний, извлеченных из текстовых корпусов, использовавшихся для предобучения ( p","Как извлечь и формализовать знания, содержащиеся в предобученных языковых моделях, и использовать их для построения баз знаний.","Как понять, какие знания хранятся в предобученных языковых моделях и как эти знания можно извлечь?",1.35,1.08,32,26,True,True,3,329.990478515625,0.8423,0.8198,-0.0225,Base
ru_14_issledovanie-primenimosti-modeley-glubokogo-obucheniya-dlya-.pdf,ru,gemma-3-12b-it-iq2xs:latest,,220,Подвесовский ИССЛЕДОВАНИЕ ПРИМЕНИМОСТИ МОДЕЛЕЙ ГЛУБОКОГО ОБУЧЕНИЯ ДЛЯ ЗАДАЧИ АСПЕКТНОГО АНАЛИЗА ТОНАЛЬНОСТИ ТЕКСТОВЫХ СООБЩЕНИЙ Рассмотрена задача аспектного анализа тональности текстовых сообщений на,"Определение тональности текстовых сообщений, как задача классификации, осложняется неоднозначностью языка и структурой текста.","Определение тональности текстовых сообщений, а также выявление аспектов, обсуждаемых в текстах.",1.18,0.99,28,24,True,True,3,324.9743143717448,0.7369,0.7497,0.0128,RAG
2603.27949v1.pdf,en,gemma-3-12b-it-iq2xs:latest,,451,"The experimental results demonstrate that EnsemJudge achieves state-of-the-art per- formance, showing strong generalization and robustness across various text types and attack settings. This work high","How can reliable detection of Chinese language large language model-generated text be achieved, especially considering out-of-domain inputs and adversarial samples?","How can we reliably detect text generated by large language models, particularly in Chinese?",1.21,0.69,29,17,True,True,3,106.98555501302083,0.8288,0.8207,-0.0081,Base
2603.29336v1.pdf,en,gemma-3-12b-it-iq2xs:latest,,247,"In constructing this cor- pus, we developed a design policy based on key issues in defining the EL task, and clarified how to handle cases in which it is difficult to determine whether a mention shoul","How can we effectively evaluate Japanese entity linking systems, given the limited availability of resources for this task?",How can linguistic expressions in text be reliably associated with real-world entities and concepts?,0.87,0.73,21,18,True,True,3,101.94932556152344,0.8117,0.8096,-0.0021,Base
2603.29979v1.pdf,en,gemma-3-12b-it-iq2xs:latest,,408,"Structural Feature Engineering Objective Given contentcwith structural featuresSF(c), our optimization objective is to find the optimal structural configurationSF∗that maximizes citation probability a","How can content structure, independent of semantic content, be quantified and optimized to improve citation performance in generative engines?",How does content structure influence citation behavior?,0.95,0.35,23,9,True,True,3,137.2655995686849,0.7978,0.7719,-0.0259,Base
2604.02194v1.pdf,en,gemma-3-12b-it-iq2xs:latest,,342,"This effectively aligns the LLM s generative capabilities with our context-filtering objective. For this, we construct a dataset as follows: for a pair (qi,{di,j}k j=1)∈ D Q, we em- ploy an external L",How can we improve the robustness of Retrieval-Augmented Language Models when presented with irrelevant or noisy retrieved contexts?,How can we improve the robustness of Retrieval-Augmented Language Models (RALMs) when presented with irrelevant or noisy contexts?,0.95,1.07,23,26,True,True,3,111.78534189860027,0.7737,0.779,0.0053,RAG
2603.28858v1.pdf,en,gemma-3-12b-it-iq2xs:latest,,297,"In this work, we proposeOPTIMER, which decouples ratio selection from training: we train one CPT model per dataset, extract each model s distribution vector, which represents the parameter shift induc","How can the sensitive hyperparameter of data mixture ratio be optimized in continual pre-training, avoiding wasted computational resources?",How can the data mixture ratio be effectively selected to optimize model performance in continual pre-training?,1.0,0.82,24,20,True,True,3,148.0951131184896,0.8109,0.8186,0.0077,RAG
2603.29520v1.pdf,en,gemma-3-12b-it-iq2xs:latest,,255,", VPNs) has significantly challenged traditional traffic analysis techniques, making en- crypted traffic classification a critical yet challenging problem. Early studies mainly relied on port-based an","How can deep learning models effectively classify encrypted traffic, despite the occlusion of payload semantics and the challenges posed by static modeling approaches?","How can encrypted traffic be classified effectively, despite the occlusion of payload semantics?",1.08,0.64,26,16,True,True,3,144.52757771809897,0.8291,0.8291,0.0,RAG
2603.29407v1.pdf,en,gemma-3-12b-it-iq2xs:latest,,350,"Finally, although details on TAU are scarce, its design similarly focuses on optimizing local feature extraction within a classical paradigm, leaving non-local correlation modeling an open challenge. ","How can we accurately forecast the evolution of three-dimensional cloud fields, considering their complex spatiotemporal dynamics and nonlocal dependencies?","How can we accurately forecast the evolution of three-dimensional cloud fields, considering cross-layer interactions, nonlocal dependencies, and multiscale spatiotemporal dynamics?",1.08,1.31,26,32,True,True,3,140.17363993326822,0.7956,0.7986,0.003,RAG
2603.29902v1.pdf,en,gemma-3-12b-it-iq2xs:latest,,214,"Annotators remove redundant or semantically mismatched calls, fix issues such as malformed syntax and inappropriate tool choices, and relocate misplaced tags to paragraph boundaries to avoid disruptin",How can Multimodal Large Language Models effectively plan and execute tool use to generate coherent interleaved text and image sequences for visual-critical queries?,How can Multimodal Large Language Models effectively unify factuality with creativity in interleaved text-and-image generation?,1.17,0.95,28,23,True,True,3,135.25441233317056,0.8053,0.7882,-0.0171,Base
